Business ID,Business Name,Reviewer,Stars,Date,Review Text
BIZ_001,Eaglespeed Oil & Lube,Andrew S,5,3 weeks ago,"The staff was extremely friendly, and their repair prices were very affordable. I brought my car in for a faulty PCV valve, and they quickly diagnosed the issue and had it repaired the same day. I would highly recommend them to anyone, especially fellow rideshare drivers looking for reliable and honest service."
BIZ_001,Eaglespeed Oil & Lube,Kerri Hurley,5,2 months ago,"Eagle Speed Service Station is an amazing mom-and-pop shop that we’ve trusted with all of our family vehicles. They consistently do great work and truly stand behind everything they service.
It’s hard to find a place this reliable and honest. You will not be disappointed trusting your car to them!"
BIZ_001,Eaglespeed Oil & Lube,Alexandra,5,5 months ago,"Came in for the first time a month ago, needed a simple oil change & fluid check. Very nice & efficient staff, I was in & out of there in less than an hour. Good local spot, would definitely recommend."
BIZ_001,Eaglespeed Oil & Lube,King Arthur,5,a month ago,Great customer service! Did a great job and got done quickly!! Thanks again
BIZ_001,Eaglespeed Oil & Lube,Jenn Ewald,5,9 months ago,"Ellen and Greg are the best! My family and I have been coming here for years and highly recommend them! Super helpful, reasonably priced and easy to get appointments.

Even though I live out of town, I always come down here to them for work on the car when I need it."
BIZ_001,Eaglespeed Oil & Lube,Heather Brannon,5,a year ago,"Honest, reliable business. Went there for an oil change and tire rotation. They saw that my tires needed to be replaced and declined to do the tire rotation, even though they could have charged me for it. They don’t replace tires so their honest diagnosis is really appreciated!"
BIZ_001,Eaglespeed Oil & Lube,Jeanne Horsey,5,a year ago,This is the place! Always responsive and helpful. They are busy but get you in and out. Provide honest accurate information. Lucky to have them in town!
BIZ_001,Eaglespeed Oil & Lube,Mike Duca,5,2 years ago,Had an outstanding experience here. The owners are professional and keep you well informed during the entire process. Price was more than fair. Extremely decent hard working people. We will use them for all future repairs. Thank you!
BIZ_001,Eaglespeed Oil & Lube,Robert Sammis,5,a year ago,First time.  Picked based on ratings.  Excellent experience at a fair price.  Bringing my other car this Saturday.
BIZ_001,Eaglespeed Oil & Lube,Mary Jander,5,9 years ago,"I just love this business. They are expert, fast, efficient, kind, and fair. More than fair. They have never steered me wrong. THIS is what a small local business can be at its very best. And they have the cutest little dog in the office! Thank you Eagle Speed for years of solid service!!"
