Business ID,Business Name,Business Type,Area,Address,Phone,Email,Rating,Review Count,Price Range,Hours,Services,About,Year Established,Facebook URL,Instagram URL,Logo URL,Maps URL,Lead Reason,Score,Photos
BIZ_001,Joe's Famous Pizza & Catering,Pizza delivery,"South Amboy, NJ","132 S Pine Ave, South Amboy, NJ 08879",+17327211040,joesfamouspizza1946@gmail.com,4.3,67,,,"connection_quality, latency_level, is_ad, content_category","Joes Famous Pizza, Vauxhall. 2,136 likes · 31 talking about this · 706 were here. Home of Joe’s Famous Pizza (Vauxhall, NJ) 🇮🇹
Love At First Bite Since 1946 ♥️🍕",,https://www.facebook.com/joesfamouspizza/,https://www.instagram.com/joesfamouspizzeria/,C:\Users\aadik\Downloads\site-builder\leads\photos\joe-s-famous-pizza-catering-132-s-pine-ave-sout\hero.jpg,https://www.google.com/maps/place/Joe%27s+Famous+Pizza+%26+Catering/data=!4m7!3m6!1s0x89c3cbb4dde43291:0x2693183de48b5f18!8m2!3d40.4791215!4d-74.2850809!16s%2Fg%2F11b6bbvhsy!19sChIJkTLk3bTLw4kRGF-L5D0YkyY,No website,100,C:\Users\aadik\Downloads\site-builder\leads\photos\joe-s-famous-pizza-catering-132-s-pine-ave-sout
BIZ_002,Haircut Store,Barber shop,"South Amboy, NJ","330 Bordentown Ave, South Amboy, NJ 08879",+17326219770,,4.3,35,,Thursday: 9 AM–5 PM | Friday(Juneteenth): 9 AM–5 PM Hours might differ | Saturday: 9 AM–5 PM | Sunday: Closed | Monday: 9 AM–5 PM | Tuesday: 9 AM–5 PM | Wednesday: 9 AM–5 PM,"connection_quality, latency_level, is_ad, content_category","The Haircut Store, South Amboy. 42 likes · 6 were here. Barber Shop",,https://www.facebook.com/haircutstore.330/,https://www.instagram.com/broadways_imageshop/,C:\Users\aadik\Downloads\site-builder\leads\photos\haircut-store-330-bordentown-ave\hero.jpg,https://www.google.com/maps/place/Haircut+Store/data=!4m7!3m6!1s0x89c3cb3c7434c5b3:0xc80c84284401f65c!8m2!3d40.478395!4d-74.2823655!16s%2Fg%2F11h5rr7p1b!19sChIJs8U0dDzLw4kRXPYBRCiEDMg,No website,91,C:\Users\aadik\Downloads\site-builder\leads\photos\haircut-store-330-bordentown-ave
BIZ_003,Familiar Pest Control Service,Pest control service,"Jersey City, NJ","1600 Harbor Blvd, Weehawken Township, NJ 07086",+15512012097,admin@thebugstoppers.com,4.6,10,,Thursday: 8 AM–8 PM | Friday(Juneteenth): 8 AM–8 PM Hours might differ | Saturday: 8 AM–8 PM | Sunday: 8 AM–8 PM | Monday: 8 AM–8 PM | Tuesday: 8 AM–8 PM | Wednesday: 8 AM–8 PM,"connection_quality, latency_level, is_ad, content_category","Bugstoppers Pest Control LLC. 2,429 likes · 3 were here. Having trouble getting rid of unwanted pests? 
Call for a free quote!
www.thebugstoppers.com  
Contact +1 (908) 558-0746
Whatsapp +1 (908)...",,https://www.facebook.com/Thebugstoppers/,https://www.instagram.com/cooper.pest.solutions/,C:\Users\aadik\Downloads\site-builder\leads\photos\familiar-pest-control-service-1600-harbor-blvd-we\hero.jpg,https://www.google.com/maps/place/Familiar+Pest+Control+Service/data=!4m7!3m6!1s0x89c2582cfc99b0fb:0xd808f00862be21ba!8m2!3d40.7625663!4d-74.0206025!16s%2Fg%2F11fz23_f7j!19sChIJ-7CZ_CxYwokRuiG-YgjwCNg,No website,93,C:\Users\aadik\Downloads\site-builder\leads\photos\familiar-pest-control-service-1600-harbor-blvd-we
BIZ_004,Original Tree Services,Tree service,"South Amboy, NJ","491 S Pine Ave, South Amboy, NJ 08879",+19082178216,info@njtreeremoval.com,4.1,21,,,"connection_quality, latency_level, is_ad, content_category","G&R Tree Service - New Jersey, South Amboy. 3 likes. 🌳🌳 G&R Tree Service is a New Jersey based tree removal, tree trimming, & all-around tree service",,https://www.facebook.com/grtreeservicenj/,https://www.instagram.com/grtreeservicenj/,C:\Users\aadik\Downloads\site-builder\leads\photos\original-tree-services-491-s-pine-ave-sout\hero.jpg,https://www.google.com/maps/place/Original+Tree+Services/data=!4m7!3m6!1s0x89c3cbbacadeee71:0x14e0da3d6332a02a!8m2!3d40.4712354!4d-74.2790823!16s%2Fg%2F1tsjfl9b!19sChIJce7eyrrLw4kRKqAyYz3a4BQ,No website,93,C:\Users\aadik\Downloads\site-builder\leads\photos\original-tree-services-491-s-pine-ave-sout
BIZ_005,Michaels Jeweler distrution LLC,Jewelry store,"South Amboy, NJ","207 New Brunswick Ave, Perth Amboy, NJ 08861",+17324066501,,4.3,15,,Thursday: 11:30 AM–7 PM | Friday(Juneteenth): 11:30 AM–7 PM Hours might differ | Saturday: 11:30 AM–7 PM | Sunday: 11 AM–4 PM | Monday: 11:30 AM–7 PM | Tuesday: 11:30 AM–7 PM | Wednesday: 11:30 AM–7 PM,,See Instagram photos and videos from Cranford Family Care (@cranfordfamily),,,https://www.instagram.com/cranfordfamily/,C:\Users\aadik\Downloads\site-builder\leads\photos\michaels-jeweler-distrution-llc-207-new-brunswick-av\hero.jpg,https://www.google.com/maps/place/Michaels+Jeweler+distrution+LLC/data=!4m7!3m6!1s0x89c3cb1ae2493007:0xff403ac52e3a4704!8m2!3d40.511846!4d-74.2704417!16s%2Fg%2F11ybtvxnvk!19sChIJBzBJ4hrLw4kRBEc6LsU6QP8,No website,81,C:\Users\aadik\Downloads\site-builder\leads\photos\michaels-jeweler-distrution-llc-207-new-brunswick-av
BIZ_006,Perth Amboy Pets,Pet groomer,"South Amboy, NJ","200 Smith St, Perth Amboy, NJ 08861",+17325008019,animalcontrol@perthamboynjpd.org,4.8,26,,Thursday: 8 AM–7 PM | Friday(Juneteenth): 8 AM–7 PM Hours might differ | Saturday: 8 AM–7 PM | Sunday: 9 AM–5 PM | Monday: 8 AM–7 PM | Tuesday: 8 AM–7 PM | Wednesday: 8 AM–7 PM,"connection_quality, latency_level, is_ad, content_category","Perth Amboy Animal Shelter, Perth Amboy. 10,925 likes · 880 talking about this · 194 were here. Perth Amboy Animal Shelter is a small municipal shelter that makes every effort to find good homes fo",,https://www.facebook.com/PerthAmboyAnimalShelter/,https://www.instagram.com/jeannie_meows/,C:\Users\aadik\Downloads\site-builder\leads\photos\perth-amboy-pets-200-smith-st-perth\hero.jpg,https://www.google.com/maps/place/Perth+Amboy+Pets/data=!4m7!3m6!1s0x89c3cb0058acfb0d:0xb712f3fbf7db8c31!8m2!3d40.5096866!4d-74.2713587!16s%2Fg%2F11z22rv_cc!19sChIJDfusWADLw4kRMYzb9_vzErc,No website,93,C:\Users\aadik\Downloads\site-builder\leads\photos\perth-amboy-pets-200-smith-st-perth
BIZ_007,Poochie Doo Pet Grooming,Pet groomer,"South Amboy, NJ","149 N Broadway, South Amboy, NJ 08879",+17325251172,poochiedoogrooming@gmail.com,4.6,94,,Thursday: 9 AM–5 PM | Friday(Juneteenth): 9 AM–6 PM Hours might differ | Saturday: 9 AM–5 PM | Sunday: Closed | Monday: Closed | Tuesday: 11 AM–5 PM | Wednesday: 9 AM–5 PM,"connection_quality, latency_level, is_ad, content_category","Poochie Doo Grooming, South Amboy. 678 likes · 323 talking about this · 190 were here. We are a full service Dog Grooming salon.We’re Appointment only. Please call 732-525-1172 to make a appointment....",,https://www.facebook.com/Poochiedoogrooming/,https://www.instagram.com/poochie_doo_grooming/,C:\Users\aadik\Downloads\site-builder\leads\photos\poochie-doo-pet-grooming-149-n-broadway-sout\hero.jpg,https://www.google.com/maps/place/Poochie+Doo+Pet+Grooming/data=!4m7!3m6!1s0x89c3ca4ea0fa273f:0x80c8c860ca861126!8m2!3d40.4850478!4d-74.2812311!16s%2Fg%2F1tdfjmnp!19sChIJPyf6oE7Kw4kRJhGGymDIyIA,No website,93,C:\Users\aadik\Downloads\site-builder\leads\photos\poochie-doo-pet-grooming-149-n-broadway-sout
BIZ_008,Five Corners Barber Shop,Barber shop,"South Amboy, NJ","170 New Brunswick Ave, Perth Amboy, NJ 08861",+17326464556,,4.7,43,,Thursday: 9 AM–8 PM | Friday(Juneteenth): 9 AM–8 PM Hours might differ | Saturday: 9 AM–9 PM | Sunday: 10 AM–5 PM | Monday: 9 AM–8 PM | Tuesday: 9 AM–8 PM | Wednesday: 9 AM–8 PM,,See Instagram photos and videos from  (@njdogbarbers),,,https://www.instagram.com/njdogbarbers/,C:\Users\aadik\Downloads\site-builder\leads\photos\five-corners-barber-shop-170-new-brunswick-av\hero.jpg,https://www.google.com/maps/place/Five+Corners+Barber+Shop/data=!4m7!3m6!1s0x89c3cb6f4542cbd3:0x41e31d1c04076675!8m2!3d40.5102557!4d-74.2682388!16s%2Fg%2F11fsltrfmc!19sChIJ08tCRW_Lw4kRdWYHBBwd40E,No website,81,C:\Users\aadik\Downloads\site-builder\leads\photos\five-corners-barber-shop-170-new-brunswick-av
BIZ_009,Dry Cleaners,Dry cleaner,"Jersey City, NJ","295 Academy St, Jersey City, NJ 07306",+12012228770,support@coastalcleanersusa.com,3.4,5,,Thursday: 7:30 AM–5:30 PM | Friday(Juneteenth): 7:30 AM–5:30 PM Hours might differ | Saturday: 7:30 AM–5:30 PM | Sunday: Closed | Monday: 7:30 AM–5:30 PM | Tuesday: 7:30 AM–5:30 PM | Wednesday: 7:30 AM–5:30 PM,"connection_quality, latency_level, is_ad, content_category","Liberty Dry Cleaners, Jersey City. 13 likes · 1 was here. Liberty Dry Cleaners
FREE PICK UP - Delivery (Jersey City Downtown, Hoboken, Weehawken, West York

E",,https://www.facebook.com/libertycleanerssns/,https://www.instagram.com/journalsquarelaundry/,C:\Users\aadik\Downloads\site-builder\leads\photos\dry-cleaners-295-academy-st-jers\hero.jpg,https://www.google.com/maps/place/Dry+Cleaners/data=!4m7!3m6!1s0x89c2570054a43e6f:0x215f7d6313aff125!8m2!3d40.7296325!4d-74.0665836!16s%2Fg%2F11xnt3n3b2!19sChIJbz6kVABXwokRJfGvE2N9XyE,No website,89,C:\Users\aadik\Downloads\site-builder\leads\photos\dry-cleaners-295-academy-st-jers
BIZ_010,Hudson Florist,Florist,"Jersey City, NJ","741 Bergen Ave A, Jersey City, NJ 07306",+12014332868,hudsonfloristjc@gmail.com,4.2,98,,Thursday: 9 AM–4:30 PM | Friday(Juneteenth): 9 AM–4:30 PM Hours might differ | Saturday: 9 AM–3 PM | Sunday: Closed | Monday: 9 AM–4 PM | Tuesday: 9 AM–4:30 PM | Wednesday: 9 AM–4:30 PM,"connection_quality, latency_level, is_ad, content_category","Hudson Florist, Jersey City. 62 likes · 10 were here. We're a young local flower shop in McGinley Square, Jersey City. Our staff is passionate about the a",,https://www.facebook.com/HudsonFlorist/,https://www.instagram.com/hudsonflorist/,C:\Users\aadik\Downloads\site-builder\leads\photos\hudson-florist-741-bergen-ave-a-je\hero.jpg,https://www.google.com/maps/place/Hudson+Florist/data=!4m7!3m6!1s0x89c250d3bce5c127:0x1647553bb01fab0d!8m2!3d40.7250602!4d-74.0687559!16s%2Fg%2F1tdq_mll!19sChIJJ8HlvNNQwokRDasfsDtVRxY,Outdated -- Wayback last seen: 2008,88,C:\Users\aadik\Downloads\site-builder\leads\photos\hudson-florist-741-bergen-ave-a-je
